,codmunres,year,cs_sexo,faixa,count
417,120040.0,2019.0,1,3034,2
418,120040.0,2019.0,1,3539,4
419,120040.0,2019.0,1,4,3
420,120040.0,2019.0,1,4044,2
421,120040.0,2019.0,1,4549,2
422,120040.0,2019.0,1,5054,1
423,120040.0,2019.0,1,509,1
424,120040.0,2019.0,1,5559,1
425,120040.0,2019.0,2,1014,3
426,120040.0,2019.0,2,1519,2
427,120040.0,2019.0,2,2024,4
428,120040.0,2019.0,2,3034,4
429,120040.0,2019.0,2,3539,2
430,120040.0,2019.0,2,4,1
431,120040.0,2019.0,2,4044,2
432,120040.0,2019.0,2,5054,2
433,120040.0,2019.0,2,509,3
434,120040.0,2019.0,2,7074,1
435,120050.0,2016.0,1,2529,1
436,120050.0,2016.0,1,4549,1
437,120060.0,2019.0,1,1014,1
438,120060.0,2019.0,1,1519,3
439,120060.0,2019.0,1,3539,1
440,120060.0,2019.0,1,509,1
441,120060.0,2019.0,1,7074,1
442,120060.0,2019.0,2,1519,2
443,120070.0,2016.0,1,2529,1
444,120070.0,2017.0,2,1014,1
445,120070.0,2017.0,2,1519,1
446,120080.0,2016.0,1,3539,1
447,130030.0,2016.0,1,4044,1
448,130040.0,2016.0,1,2529,1
449,130040.0,2017.0,1,5054,1
450,130040.0,2018.0,1,3539,1
451,130060.0,2017.0,1,3034,1
452,130060.0,2019.0,1,3539,1
453,130080.0,2016.0,1,1519,2
454,130080.0,2016.0,1,2024,1
455,130080.0,2016.0,1,2529,1
456,130080.0,2016.0,1,3034,2
457,130080.0,2016.0,2,5054,1
458,130080.0,2016.0,2,6064,1
459,130080.0,2017.0,1,1519,3
460,130080.0,2017.0,1,2024,1
461,130080.0,2017.0,1,2529,1
462,130080.0,2017.0,1,3034,1
463,130080.0,2017.0,2,4549,1
464,130080.0,2019.0,1,2024,1
465,130080.0,2019.0,1,509,1
466,130080.0,2019.0,2,1519,1
467,130090.0,2019.0,2,4549,1
468,130110.0,2017.0,1,5054,1
469,130120.0,2017.0,1,2529,1
470,130140.0,2019.0,1,3539,1
471,130170.0,2018.0,1,4,1
472,130185.0,2016.0,1,2529,4
473,130185.0,2016.0,1,3034,3
474,130185.0,2016.0,1,3539,2
475,130185.0,2016.0,1,4,4
476,130185.0,2016.0,1,509,3
477,130185.0,2016.0,1,5559,1
478,130185.0,2016.0,2,3034,1
479,130185.0,2016.0,2,3539,1
480,130185.0,2016.0,2,4,3
481,130185.0,2016.0,2,509,1
482,130185.0,2017.0,1,1014,1
483,130185.0,2017.0,1,2024,1
484,130185.0,2017.0,1,2529,2
485,130185.0,2017.0,1,3034,3
486,130185.0,2017.0,1,3539,2
487,130185.0,2017.0,1,4,2
488,130185.0,2017.0,1,4044,1
489,130185.0,2017.0,1,4549,1
490,130185.0,2017.0,2,1014,1
491,130185.0,2017.0,2,4,2
492,130185.0,2017.0,2,5559,1
493,130185.0,2018.0,2,4,2
494,130190.0,2017.0,1,3034,1
495,130190.0,2018.0,1,1014,1
496,130190.0,2018.0,1,3539,1
497,130190.0,2018.0,1,4044,2
498,130190.0,2018.0,1,4549,1
499,130190.0,2018.0,1,5054,2
500,130190.0,2018.0,1,6064,1
501,130190.0,2018.0,1,6569,1
502,130190.0,2018.0,2,1519,3
503,130190.0,2018.0,2,2024,1
504,130190.0,2018.0,2,2529,2
505,130190.0,2018.0,2,4549,1
506,130190.0,2018.0,2,509,1
507,130190.0,2019.0,1,4,3
508,130190.0,2019.0,2,4,1
509,130190.0,2019.0,2,4044,1
510,130250.0,2016.0,1,2024,2
511,130250.0,2016.0,1,4,2
512,130250.0,2017.0,1,1519,1
513,130250.0,2017.0,1,4044,1
514,130260.0,2015.0,1,1519,2
515,130260.0,2015.0,1,2024,2
516,130260.0,2015.0,1,2529,4
517,130260.0,2015.0,1,3034,5
518,130260.0,2015.0,1,3539,1
519,130260.0,2015.0,1,4044,2
520,130260.0,2015.0,1,4549,2
521,130260.0,2015.0,1,5054,2
522,130260.0,2015.0,1,509,1
523,130260.0,2015.0,1,5559,2
524,130260.0,2015.0,1,7074,1
525,130260.0,2015.0,2,1519,2
526,130260.0,2015.0,2,2024,4
527,130260.0,2015.0,2,2529,2
528,130260.0,2015.0,2,3034,1
529,130260.0,2015.0,2,3539,1
530,130260.0,2015.0,2,4044,1
531,130260.0,2015.0,2,4549,1
532,130260.0,2015.0,2,5054,1
533,130260.0,2016.0,1,1014,130
534,130260.0,2016.0,1,1519,260
535,130260.0,2016.0,1,2024,400
536,130260.0,2016.0,1,2529,371
537,130260.0,2016.0,1,3034,394
538,130260.0,2016.0,1,3539,345
539,130260.0,2016.0,1,4,109
540,130260.0,2016.0,1,4044,262
541,130260.0,2016.0,1,4549,218
542,130260.0,2016.0,1,5054,170
543,130260.0,2016.0,1,509,75
544,130260.0,2016.0,1,5559,107
545,130260.0,2016.0,1,6064,86
546,130260.0,2016.0,1,6569,52
547,130260.0,2016.0,1,7074,14
548,130260.0,2016.0,1,7579,8
549,130260.0,2016.0,1,8099,6
550,130260.0,2016.0,2,1014,94
551,130260.0,2016.0,2,1519,106
552,130260.0,2016.0,2,2024,165
553,130260.0,2016.0,2,2529,148
554,130260.0,2016.0,2,3034,155
555,130260.0,2016.0,2,3539,144
556,130260.0,2016.0,2,4,109
557,130260.0,2016.0,2,4044,130
558,130260.0,2016.0,2,4549,104
